	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
0	Utah State	UTS	$ffffff	$da0cf5	$da0cf5	$11f75e	$ffffff	$11f75e	$da0cf5	$da0cf5	$ffffff	$da0cf5	$ffffff	$da0cf5	$ffffff	$11f75e	$e6e6e6	$e6e6e6	$ffffff	$11f75e	$ffffff	$da0cf5	$ffffff	$11f75e	$e6e6e6	$da0cf5	$ffffff	$da0cf5	$11f75e	$ffffff	$11f75e	$da0cf5	$b40e29	$b40e29	0	40	89	$0202d9
1	Blue Angels	B.A	$00274C	$FFFF00	$00274C	$FFFF00	$00274C	$FFFF00	$00274C	$00274C	$00274C	$FFFF00	$00274C	$FFFF00	$00274C	$FFFF00	$00274C	$00274C	$	$FFFF00	$00274C	$FFFF00	$00274C	$FFFF00	$00274C	$00274C	$00274C	$FFFF00	$00274C	$00274C	$FFFF00	$00274C	$FFFF00	$00274C	0	59	0	$00274C
2	Irregulars	IRG	$0062B8	$a6a805	$a6a805	$0a8f69	$a6a805	$FFFFFF	$000000	$000000	$e02472	$000000	$000000	$0a8f69	$a6a805	$000000	$000000	$0b203a	$000000	$003087	$0a8f69	$000000	$000000	$003087	$e6e6e6	$0a8f69	$e02472	$a6a805	$a6a805	$a2aaad	$a2aaad	$a6a805	$e6e6e6	$0b203a	0	49	52	$1d2253
3	BYU Cougars	BYU	$0062B8	$ffffff	$002E5D	$ffffff	$002E5D	$0062B8	$002E5D	$0062B8	$115740	$002E5D	$ffffff	$0062B8	$ffffff	$ffffff	$0062B8	$002E5D	$ffffff	$ffffff	$002E5D	$002E5D	$ffffff	$002E5D	$ffffff	$002E5D	$ffffff	$ffffff	$002E5D	$ffffff	$ffffff	$ffffff	$002E5D	$1a1a1a	0	47	25	$035826
4	Strange Winds	STW	$3EE7EC	$ffffff	$3EE7EC	$ffffff	$ffffff	$3EE7EC	$3EE7EC	$ffffff	$3EE7EC	$ffffff	$ffffff	$3EE7EC	$ffffff	$3EE7EC	$ffffff	$ffffff	$ffffff	$3EE7EC	$ffffff	$3EE7EC	$ffffff	$3EE7EC	$ffffff	$3EE7EC	$3EE7EC	$ffffff	$3EE7EC	$ffffff	$3EE7EC	$ffffff	$3EE7EC	$ffffff	0	17	62	$3EE7EC
5	Michigan	MIC	$3f3f3f	$FAFA00	$3f3f3f	$FAFA00	$FAFA00	$3f3f3f	$3f3f3f	$FAFA00	$3f3f3f	$FAFA00	$ffffff	$3f3f3f	$FAFA00	$3f3f3f	$3f3f3f	$FAFA00	$FAFA00	$3f3f3f	$FAFA00	$3f3f3f	$FAFA00	$3f3f3f	$3f3f3f	$3f3f3f	$ffffff	$FAFA00	$ffffff	$3f3f3f	$ffffff	$FAFA00	$3f3f3f	$FAFA00	0	40	15	$$FAFA00
6	Storm Bois	S.B	$00	$ffffff	$00	$ffffff	$ffffff	$00	$00	$00	$00	$ffffff	$ffffff	$00	$00	$ffffff	$00	$00	$00	$ffffff	$00	$ffffff	$00	$ffffff	$00	$00	$ffffff	$00	$ffffff	$00	$ffffff	$00	$ffffff	$ffffff	2	17	0	$00
7	Ingrain ING		$87909a	$010101	$010101	$a2aaad	$a2aaad	$010101	$e6e6e6	$1a1a1a	$87909a	$010101	$ffffff	$010101	$a2aaad	$010101	$e6e6e6	$1a1a1a	$010101	$010101	$010101	$c5b53b	$ffffff	$c5b53b	$e6e6e6	$010101	$87909a	$010101	$ffffff	$a2aaad	$ffffff	$a2aaad	$e6e6e6	$e6e6e6	1	5	0	$000000
8	Blue Mages	BLM	$780078	$c0c0	$00	$c0c0	$780078	$c0c0	$c0c0	$00	$780078	$c0c0	$780078	$c0c0	$00	$780078	$c0c0	$00	$780078	$c0c0	$780078	$c0c0	$780078	$coco	$c0c0	$780078	$00	$780078	$00	$c0c0	$00	$780078	$c0c0	$00	1	45	19	$780078
9	Iowa Spooks	IOS	$00	$FF7400	$00	$FF7400	$FF7400	$00	$FF7400	$00	$00	$FF7400	$FF7400	$00	$00	$FF7400	$FF7400	$00	$FF7400	$00	$FF7400	$00	$FF7400	$00	$FF7400	$FF7400	$00	$FF7400	$00	$FF7400	$00	$FF7400	$00	$00	2	42	14	$FF7400
